des(0, 17109, 19683)
(13417, "x4", 13498)
(13417, "x6", 14146)
(14146, "x-won", 19683)
(13417, "x7", 15604)
(15604, "o4", 15766)
(15604, "o6", 17062)
(52, "x6", 781)
(781, "x-won", 19683)
(52, "x7", 2239)
(2239, "o4", 2401)
(2401, "x5", 2644)
(2401, "x6", 3130)
(3130, "x-won", 19683)
(2401, "x8", 8962)
(8962, "o5", 9448)
(9448, "x6", 10177)
(10177, "x-won", 19683)
(8962, "o6", 10420)
(10420, "o-won", 19683)
(2239, "o5", 2725)
(2725, "x4", 2806)
(2725, "x6", 3454)
(3454, "x-won", 19683)
(2725, "x8", 9286)
(9286, "o4", 9448)
(9286, "o6", 10744)
(10744, "x4", 10825)
(2239, "o6", 3697)
(3697, "x4", 3778)
(3697, "x5", 3940)
(3697, "x8", 10258)
(10258, "o4", 10420)
(10258, "o5", 10744)
(2239, "o8", 15361)
(15361, "x4", 15442)
(15361, "x5", 15604)
(15361, "x6", 16090)
(16090, "x-won", 19683)
(52, "x8", 6613)
(6613, "o4", 6775)
(6775, "x5", 7018)
(6775, "x6", 7504)
(7504, "x-won", 19683)
(6775, "x7", 8962)
(6613, "o5", 7099)
(7099, "x4", 7180)
(7099, "x6", 7828)
(7828, "x-won", 19683)
(7099, "x7", 9286)
(6613, "o6", 8071)
(8071, "x4", 8152)
(8071, "x5", 8314)
(8071, "x7", 10258)
(6613, "o7", 10987)
(10987, "x4", 11068)
(10987, "x5", 11230)
(10987, "x6", 11716)
(11716, "x-won", 19683)
(34, "o4", 196)
(196, "x2", 205)
(196, "x5", 439)
(439, "o2", 457)
(439, "o6", 1897)
(1897, "x2", 1906)
(1897, "x7", 4084)
(4084, "o2", 4102)
(4084, "o8", 17206)
(17206, "x2", 17215)
(1897, "x8", 8458)
(8458, "o2", 8476)
(8458, "o7", 12832)
(12832, "o-won", 19683)
(439, "o7", 4813)
(4813, "o-won", 19683)
(439, "o8", 13561)
(13561, "x2", 13570)
(13561, "x6", 14290)
(14290, "x-won", 19683)
(13561, "x7", 15748)
(15748, "o2", 15766)
(15748, "o6", 17206)
(196, "x6", 925)
(925, "x-won", 19683)
(196, "x7", 2383)
(2383, "o2", 2401)
(2383, "o5", 2869)
(2869, "x2", 2878)
(2869, "x6", 3598)
(3598, "x-won", 19683)
(2869, "x8", 9430)
(9430, "o2", 9448)
(9430, "o6", 10888)
(10888, "x2", 10897)
(2383, "o6", 3841)
(3841, "x2", 3850)
(3841, "x5", 4084)
(3841, "x8", 10402)
(10402, "o2", 10420)
(10402, "o5", 10888)
(2383, "o8", 15505)
(15505, "x2", 15514)
(15505, "x5", 15748)
(15505, "x6", 16234)
(16234, "x-won", 19683)
(196, "x8", 6757)
(6757, "o2", 6775)
(6757, "o5", 7243)
(7243, "x2", 7252)
(7243, "x6", 7972)
(7972, "x-won", 19683)
(7243, "x7", 9430)
(6757, "o6", 8215)
(8215, "x2", 8224)
(8215, "x5", 8458)
(8215, "x7", 10402)
(6757, "o7", 11131)
(11131, "o-won", 19683)
(34, "o5", 520)
(520, "x2", 529)
(520, "x4", 601)
(601, "o2", 619)
(601, "o6", 2059)
(2059, "x2", 2068)
(2059, "x7", 4246)
(4246, "o2", 4264)
(4246, "o8", 17368)
(17368, "x2", 17377)
(2059, "x8", 8620)
(8620, "x-won", 19683)
(601, "o7", 4975)
(4975, "x2", 4984)
(4975, "x6", 5704)
(5704, "x-won", 19683)
(4975, "x8", 11536)
(11536, "x-won", 19683)
(601, "o8", 13723)
(13723, "x2", 13732)
(13723, "x6", 14452)
(14452, "x-won", 19683)
(13723, "x7", 15910)
(15910, "o2", 15928)
(15910, "o6", 17368)
(520, "x6", 1249)
(1249, "x-won", 19683)
(520, "x7", 2707)
(2707, "o2", 2725)
(2707, "o4", 2869)
(2707, "o6", 4165)
(4165, "x2", 4174)
(4165, "x4", 4246)
(4165, "x8", 10726)
(10726, "o2", 10744)
(10726, "o4", 10888)
(2707, "o8", 15829)
(15829, "x2", 15838)
(15829, "x4", 15910)
(15829, "x6", 16558)
(16558, "x-won", 19683)
(520, "x8", 7081)
(7081, "o2", 7099)
(7081, "o4", 7243)
(7081, "o6", 8539)
(8539, "x2", 8548)
(8539, "x4", 8620)
(8539, "x7", 10726)
(7081, "o7", 11455)
(11455, "x2", 11464)
(11455, "x4", 11536)
(11455, "x6", 12184)
(12184, "x-won", 19683)
(34, "o6", 1492)
(1492, "x2", 1501)
(1492, "x4", 1573)
(1573, "o2", 1591)
(1573, "o5", 2059)
(1573, "o7", 5947)
(5947, "x2", 5956)
(5947, "x5", 6190)
(6190, "x-won", 19683)
(5947, "x8", 12508)
(12508, "x-won", 19683)
(1573, "o8", 14695)
(14695, "x2", 14704)
(14695, "x5", 14938)
(14938, "x-won", 19683)
(14695, "x7", 16882)
(16882, "o2", 16900)
(16882, "o5", 17368)
(1492, "x5", 1735)
(1735, "o2", 1753)
(1735, "o4", 1897)
(1735, "o7", 6109)
(6109, "x2", 6118)
(6109, "x4", 6190)
(6109, "x8", 12670)
(12670, "o2", 12688)
(12670, "o4", 12832)
(1735, "o8", 14857)
(14857, "x2", 14866)
(14857, "x4", 14938)
(14857, "x7", 17044)
(17044, "o2", 17062)
(17044, "o4", 17206)
(1492, "x7", 3679)
(3679, "o2", 3697)
(3679, "o4", 3841)
(3679, "o5", 4165)
(3679, "o8", 16801)
(16801, "x2", 16810)
(16801, "x4", 16882)
(16801, "x5", 17044)
(1492, "x8", 8053)
(8053, "o2", 8071)
(8053, "o4", 8215)
(8053, "o5", 8539)
(8053, "o7", 12427)
(12427, "x2", 12436)
(12427, "x4", 12508)
(12427, "x5", 12670)
(34, "o7", 4408)
(4408, "x2", 4417)
(4408, "x4", 4489)
(4489, "o2", 4507)
(4489, "o5", 4975)
(4489, "o6", 5947)
(4489, "o8", 17611)
(17611, "x2", 17620)
(17611, "x5", 17854)
(17854, "x-won", 19683)
(17611, "x6", 18340)
(18340, "x-won", 19683)
(4408, "x5", 4651)
(4651, "o2", 4669)
(4651, "o4", 4813)
(4651, "o6", 6109)
(4651, "o8", 17773)
(17773, "x2", 17782)
(17773, "x4", 17854)
(17773, "x6", 18502)
(18502, "x-won", 19683)
(4408, "x6", 5137)
(5137, "x-won", 19683)
(4408, "x8", 10969)
(10969, "o2", 10987)
(10969, "o4", 11131)
(10969, "o5", 11455)
(10969, "o6", 12427)
(34, "o8", 13156)
(13156, "x2", 13165)
(13156, "x4", 13237)
(13237, "o2", 13255)
(13237, "o5", 13723)
(13237, "o6", 14695)
(13237, "o7", 17611)
(13156, "x5", 13399)
(13399, "o2", 13417)
(13399, "o4", 13561)
(13399, "o6", 14857)
(13399, "o7", 17773)
(13156, "x6", 13885)
(13885, "x-won", 19683)
(13156, "x7", 15343)
(15343, "o2", 15361)
(15343, "o4", 15505)
(15343, "o5", 15829)
(15343, "o6", 16801)
(7, "x4", 88)
(88, "o2", 106)
(106, "x3", 133)
(106, "x5", 349)
(349, "o3", 403)
(403, "x6", 1132)
(1132, "o7", 5506)
(5506, "x8", 12067)
(12067, "x-won", 19683)
