des(0, 17109, 19683)
(5136, "x4", 5217)
(5136, "x5", 5379)
(5136, "x8", 11697)
(11697, "o0", 11699)
(11697, "o2", 11715)
(11697, "o4", 11859)
(11697, "o5", 12183)
(762, "o8", 13884)
(13884, "x0", 13885)
(13884, "x2", 13893)
(13884, "x4", 13965)
(13884, "x5", 14127)
(13884, "x7", 16071)
(16071, "o0", 16073)
(16071, "o2", 16089)
(16071, "o4", 16233)
(16071, "o5", 16557)
(33, "x7", 2220)
(2220, "o0", 2222)
(2220, "o2", 2238)
(2238, "x0", 2239)
(2238, "x4", 2319)
(2238, "x5", 2481)
(2238, "x6", 2967)
(2238, "x8", 8799)
(8799, "o0", 8801)
(8799, "o4", 8961)
(8961, "x0", 8962)
(8961, "x5", 9204)
(8961, "x6", 9690)
(8799, "o5", 9285)
(9285, "x0", 9286)
(9285, "x4", 9366)
(9285, "x6", 10014)
(8799, "o6", 10257)
(10257, "x0", 10258)
(10257, "x4", 10338)
(10257, "x5", 10500)
(2220, "o4", 2382)
(2382, "x0", 2383)
(2382, "x2", 2391)
(2382, "x5", 2625)
(2382, "x6", 3111)
(2382, "x8", 8943)
(8943, "o0", 8945)
(8943, "o2", 8961)
(8943, "o5", 9429)
(9429, "x0", 9430)
(9429, "x2", 9438)
(9429, "x6", 10158)
(8943, "o6", 10401)
(10401, "x0", 10402)
(10401, "x2", 10410)
(10401, "x5", 10644)
(2220, "o5", 2706)
(2706, "x0", 2707)
(2706, "x2", 2715)
(2706, "x4", 2787)
(2706, "x6", 3435)
(2706, "x8", 9267)
(9267, "o0", 9269)
(9267, "o2", 9285)
(9267, "o4", 9429)
(9267, "o6", 10725)
(10725, "x0", 10726)
(10725, "x2", 10734)
(10725, "x4", 10806)
(2220, "o6", 3678)
(3678, "x0", 3679)
(3678, "x2", 3687)
(3678, "x4", 3759)
(3678, "x5", 3921)
(3678, "x8", 10239)
(10239, "o0", 10241)
(10239, "o2", 10257)
(10239, "o4", 10401)
(10239, "o5", 10725)
(2220, "o8", 15342)
(15342, "x0", 15343)
(15342, "x2", 15351)
(15342, "x4", 15423)
(15342, "x5", 15585)
(15342, "x6", 16071)
(33, "x8", 6594)
(6594, "o0", 6596)
(6594, "o2", 6612)
(6612, "x0", 6613)
(6612, "x4", 6693)
(6612, "x5", 6855)
(6612, "x6", 7341)
(6612, "x7", 8799)
(6594, "o4", 6756)
(6756, "x0", 6757)
(6756, "x2", 6765)
(6756, "x5", 6999)
(6756, "x6", 7485)
(6756, "x7", 8943)
(6594, "o5", 7080)
(7080, "x0", 7081)
(7080, "x2", 7089)
(7080, "x4", 7161)
(7080, "x6", 7809)
(7080, "x7", 9267)
(6594, "o6", 8052)
(8052, "x0", 8053)
(8052, "x2", 8061)
(8052, "x4", 8133)
(8052, "x5", 8295)
(8052, "x7", 10239)
(6594, "o7", 10968)
(10968, "x0", 10969)
(10968, "x2", 10977)
(10968, "x4", 11049)
(10968, "x5", 11211)
(10968, "x6", 11697)
(27, "o2", 45)
(45, "x0", 46)
(45, "x1", 48)
(45, "x4", 126)
(126, "o0", 128)
(126, "o1", 132)
(126, "o5", 612)
(612, "x0", 613)
(612, "x1", 615)
(612, "x6", 1341)
(1341, "o0", 1343)
(1341, "o1", 1347)
(1341, "o7", 5715)
(5715, "x0", 5716)
(5715, "x1", 5718)
(5715, "x8", 12276)
(12276, "o0", 12278)
(12276, "o1", 12282)
(1341, "o8", 14463)
(14463, "o-won", 19683)
(612, "x7", 2799)
(2799, "o0", 2801)
(2799, "o1", 2805)
(2799, "o6", 4257)
(4257, "x0", 4258)
(4257, "x1", 4260)
(4257, "x8", 10818)
(10818, "o0", 10820)
(10818, "o1", 10824)
(2799, "o8", 15921)
(15921, "o-won", 19683)
(612, "x8", 7173)
(7173, "o0", 7175)
(7173, "o1", 7179)
(7173, "o6", 8631)
(8631, "x0", 8632)
(8631, "x1", 8634)
(8631, "x7", 10818)
(7173, "o7", 11547)
(11547, "x0", 11548)
(11547, "x1", 11550)
(11547, "x6", 12276)
(126, "o6", 1584)
(1584, "x0", 1585)
(1584, "x1", 1587)
(1584, "x5", 1827)
(1827, "x-won", 19683)
(1584, "x7", 3771)
(3771, "o0", 3773)
(3771, "o1", 3777)
(3771, "o5", 4257)
(3771, "o8", 16893)
(16893, "x0", 16894)
(16893, "x1", 16896)
(16893, "x5", 17136)
(17136, "x-won", 19683)
(1584, "x8", 8145)
(8145, "o0", 8147)
(8145, "o1", 8151)
(8145, "o5", 8631)
(8145, "o7", 12519)
(12519, "x0", 12520)
(12519, "x1", 12522)
(12519, "x5", 12762)
(12762, "x-won", 19683)
(126, "o7", 4500)
(4500, "x0", 4501)
(4500, "x1", 4503)
(4500, "x5", 4743)
(4743, "x-won", 19683)
(4500, "x6", 5229)
(5229, "o0", 5231)
(5229, "o1", 5235)
(5229, "o5", 5715)
(5229, "o8", 18351)
(18351, "x0", 18352)
(18351, "x1", 18354)
(18351, "x5", 18594)
(18594, "x-won", 19683)
(4500, "x8", 11061)
(11061, "o0", 11063)
(11061, "o1", 11067)
(11061, "o5", 11547)
(11061, "o6", 12519)
(126, "o8", 13248)
(13248, "x0", 13249)
(13248, "x1", 13251)
(13248, "x5", 13491)
(13491, "x-won", 19683)
(13248, "x6", 13977)
(13977, "o0", 13979)
(13977, "o1", 13983)
(13977, "o5", 14463)
(13977, "o7", 18351)
(13248, "x7", 15435)
(15435, "o0", 15437)
(15435, "o1", 15441)
(15435, "o5", 15921)
(15435, "o6", 16893)
(45, "x5", 288)
(288, "o0", 290)
(288, "o1", 294)
(288, "o4", 450)
(450, "x0", 451)
(450, "x1", 453)
(450, "x6", 1179)
(1179, "o0", 1181)
(1179, "o1", 1185)
(1179, "o7", 5553)
(5553, "x0", 5554)
(5553, "x1", 5556)
(5553, "x8", 12114)
(12114, "o0", 12116)
(12114, "o1", 12120)
(1179, "o8", 14301)
(14301, "x0", 14302)
(14301, "x1", 14304)
(14301, "x7", 16488)
(16488, "o0", 16490)
(16488, "o1", 16494)
(450, "x7", 2637)
(2637, "o0", 2639)
(2637, "o1", 2643)
(2637, "o6", 4095)
(4095, "o-won", 19683)
(2637, "o8", 15759)
(15759, "x0", 15760)
(15759, "x1", 15762)
(15759, "x6", 16488)
(450, "x8", 7011)
(7011, "o0", 7013)
(7011, "o1", 7017)
(7011, "o6", 8469)
(8469, "o-won", 19683)
(7011, "o7", 11385)
(11385, "x0", 11386)
(11385, "x1", 11388)
(11385, "x6", 12114)
(288, "o6", 1746)
(1746, "x0", 1747)
(1746, "x1", 1749)
(1746, "x4", 1827)
(1746, "x7", 3933)
(3933, "o0", 3935)
(3933, "o1", 3939)
(3933, "o4", 4095)
(3933, "o8", 17055)
(17055, "x0", 17056)
(17055, "x1", 17058)
(17055, "x4", 17136)
(1746, "x8", 8307)
(8307, "o0", 8309)
(8307, "o1", 8313)
(8307, "o4", 8469)
(8307, "o7", 12681)
(12681, "x0", 12682)
(12681, "x1", 12684)
(12681, "x4", 12762)
(288, "o7", 4662)
(4662, "x0", 4663)
(4662, "x1", 4665)
(4662, "x4", 4743)
(4662, "x6", 5391)
(5391, "o0", 5393)
(5391, "o1", 5397)
(5391, "o4", 5553)
(5391, "o8", 18513)
(18513, "x0", 18514)
(18513, "x1", 18516)
(18513, "x4", 18594)
(4662, "x8", 11223)
(11223, "o0", 11225)
(11223, "o1", 11229)
(11223, "o4", 11385)
(11223, "o6", 12681)
(288, "o8", 13410)
(13410, "x0", 13411)
(13410, "x1", 13413)
(13410, "x4", 13491)
(13410, "x6", 14139)
(14139, "o0", 14141)
(14139, "o1", 14145)
(14139, "o4", 14301)
(14139, "o7", 18513)
(13410, "x7", 15597)
(15597, "o0", 15599)
(15597, "o1", 15603)
(15597, "o4", 15759)
(15597, "o6", 17055)
(45, "x6", 774)
(774, "o0", 776)
(774, "o1", 780)
(774, "o4", 936)
(936, "x0", 937)
(936, "x1", 939)
(936, "x5", 1179)
(936, "x7", 3123)
(3123, "o0", 3125)
(3123, "o1", 3129)
(3123, "o5", 3609)
(3609, "x0", 3610)
(3609, "x1", 3612)
(3609, "x8", 10170)
(10170, "x-won", 19683)
(3123, "o8", 16245)
(16245, "x0", 16246)
(16245, "x1", 16248)
(16245, "x5", 16488)
(936, "x8", 7497)
(7497, "o0", 7499)
(7497, "o1", 7503)
(7497, "o5", 7983)
(7983, "x0", 7984)
(7983, "x1", 7986)
(7983, "x7", 10170)
(7497, "o7", 11871)
(11871, "x0", 11872)
(11871, "x1", 11874)
(11871, "x5", 12114)
(774, "o5", 1260)
(1260, "x0", 1261)
(1260, "x1", 1263)
(1260, "x4", 1341)
(1260, "x7", 3447)
(3447, "o0", 3449)
(3447, "o1", 3453)
(3447, "o4", 3609)
(3447, "o8", 16569)
(16569, "o-won", 19683)
(1260, "x8", 7821)
(7821, "o0", 7823)
(7821, "o1", 7827)
(7821, "o4", 7983)
(7821, "o7", 12195)
(12195, "x0", 12196)
(12195, "x1", 12198)
(12195, "x4", 12276)
(774, "o7", 5148)
(5148, "x0", 5149)
(5148, "x1", 5151)
(5148, "x4", 5229)
(5148, "x5", 5391)
(5148, "x8", 11709)
(11709, "o0", 11711)
(11709, "o1", 11715)
(11709, "o4", 11871)
(11709, "o5", 12195)
(774, "o8", 13896)
(13896, "x0", 13897)
(13896, "x1", 13899)
(13896, "x4", 13977)
(13896, "x5", 14139)
(13896, "x7", 16083)
(16083, "o0", 16085)
(16083, "o1", 16089)
(16083, "o4", 16245)
(16083, "o5", 16569)
(45, "x7", 2232)
(2232, "o0", 2234)
(2232, "o1", 2238)
(2232, "o4", 2394)
(2394, "x0", 2395)
(2394, "x1", 2397)
(2394, "x5", 2637)
(2394, "x6", 3123)
(2394, "x8", 8955)
(8955, "o0", 8957)
(8955, "o1", 8961)
(8955, "o5", 9441)
(9441, "x0", 9442)
(9441, "x1", 9444)
(9441, "x6", 10170)
(8955, "o6", 10413)
(10413, "o-won", 19683)
(2232, "o5", 2718)
(2718, "x0", 2719)
(2718, "x1", 2721)
(2718, "x4", 2799)
(2718, "x6", 3447)
(2718, "x8", 9279)
(9279, "o0", 9281)
(9279, "o1", 9285)
(9279, "o4", 9441)
(9279, "o6", 10737)
(10737, "x0", 10738)
(10737, "x1", 10740)
(10737, "x4", 10818)
(2232, "o6", 3690)
(3690, "x0", 3691)
(3690, "x1", 3693)
(3690, "x4", 3771)
(3690, "x5", 3933)
(3690, "x8", 10251)
(10251, "o0", 10253)
(10251, "o1", 10257)
(10251, "o4", 10413)
(10251, "o5", 10737)
(2232, "o8", 15354)
(15354, "x0", 15355)
(15354, "x1", 15357)
(15354, "x4", 15435)
(15354, "x5", 15597)
(15354, "x6", 16083)
(45, "x8", 6606)
(6606, "o0", 6608)
(6606, "o1", 6612)
(6606, "o4", 6768)
(6768, "x0", 6769)
(6768, "x1", 6771)
(6768, "x5", 7011)
(6768, "x6", 7497)
(6768, "x7", 8955)
(6606, "o5", 7092)
(7092, "x0", 7093)
(7092, "x1", 7095)
(7092, "x4", 7173)
(7092, "x6", 7821)
(7092, "x7", 9279)
(6606, "o6", 8064)
(8064, "x0", 8065)
(8064, "x1", 8067)
(8064, "x4", 8145)
(8064, "x5", 8307)
(8064, "x7", 10251)
(6606, "o7", 10980)
(10980, "x0", 10981)
(10980, "x1", 10983)
(10980, "x4", 11061)
(10980, "x5", 11223)
(10980, "x6", 11709)
(27, "o4", 189)
(189, "x0", 190)
(189, "x1", 192)
(189, "x2", 198)
(189, "x5", 432)
(432, "o0", 434)
(432, "o1", 438)
(432, "o2", 450)
(432, "o6", 1890)
(1890, "x0", 1891)
(1890, "x1", 1893)
(1890, "x2", 1899)
(1890, "x7", 4077)
(4077, "o0", 4079)
(4077, "o1", 4083)
(4077, "o2", 4095)
(4077, "o8", 17199)
(17199, "x0", 17200)
(17199, "x1", 17202)
(17199, "x2", 17208)
(1890, "x8", 8451)
(8451, "o0", 8453)
(8451, "o1", 8457)
(8451, "o2", 8469)
(8451, "o7", 12825)
(12825, "x0", 12826)
(12825, "x1", 12828)
(12825, "x2", 12834)
(432, "o7", 4806)
(4806, "x0", 4807)
(4806, "x1", 4809)
(4806, "x2", 4815)
(4806, "x6", 5535)
(5535, "o0", 5537)
(5535, "o1", 5541)
(5535, "o2", 5553)
(5535, "o8", 18657)
(18657, "x0", 18658)
(18657, "x1", 18660)
(18657, "x2", 18666)
(4806, "x8", 11367)
(11367, "o0", 11369)
(11367, "o1", 11373)
(11367, "o2", 11385)
(11367, "o6", 12825)
(432, "o8", 13554)
(13554, "x0", 13555)
(13554, "x1", 13557)
(13554, "x2", 13563)
(13554, "x6", 14283)
(14283, "o0", 14285)
(14283, "o1", 14289)
(14283, "o2", 14301)
(14283, "o7", 18657)
(13554, "x7", 15741)
(15741, "o0", 15743)
(15741, "o1", 15747)
(15741, "o2", 15759)
(15741, "o6", 17199)
(189, "x6", 918)
(918, "o0", 920)
(918, "o1", 924)
(918, "o2", 936)
(918, "o5", 1404)
(1404, "x0", 1405)
(1404, "x1", 1407)
(1404, "x2", 1413)
(1404, "x7", 3591)
(3591, "o0", 3593)
(3591, "o1", 3597)
(3591, "o2", 3609)
(3591, "o8", 16713)
(16713, "x0", 16714)
(16713, "x1", 16716)
(16713, "x2", 16722)
(1404, "x8", 7965)
(7965, "o0", 7967)
(7965, "o1", 7971)
(7965, "o2", 7983)
(7965, "o7", 12339)
(12339, "x0", 12340)
(12339, "x1", 12342)
(12339, "x2", 12348)
(918, "o7", 5292)
(5292, "x0", 5293)
(5292, "x1", 5295)
(5292, "x2", 5301)
(5292, "x5", 5535)
(5292, "x8", 11853)
(11853, "o0", 11855)
(11853, "o1", 11859)
(11853, "o2", 11871)
(11853, "o5", 12339)
(918, "o8", 14040)
(14040, "x0", 14041)
(14040, "x1", 14043)
(14040, "x2", 14049)
(14040, "x5", 14283)
(14040, "x7", 16227)
(16227, "o0", 16229)
(16227, "o1", 16233)
(16227, "o2", 16245)
(16227, "o5", 16713)
(189, "x7", 2376)
(2376, "o0", 2378)
(2376, "o1", 2382)
(2376, "o2", 2394)
(2376, "o5", 2862)
(2862, "x0", 2863)
(2862, "x1", 2865)
(2862, "x2", 2871)
(2862, "x6", 3591)
(2862, "x8", 9423)
(9423, "o0", 9425)
(9423, "o1", 9429)
(9423, "o2", 9441)
(9423, "o6", 10881)
(10881, "x0", 10882)
(10881, "x1", 10884)
(10881, "x2", 10890)
(2376, "o6", 3834)
(3834, "x0", 3835)
(3834, "x1", 3837)
(3834, "x2", 3843)
(3834, "x5", 4077)
(3834, "x8", 10395)
(10395, "o0", 10397)
(10395, "o1", 10401)
(10395, "o2", 10413)
(10395, "o5", 10881)
(2376, "o8", 15498)
(15498, "x0", 15499)
(15498, "x1", 15501)
(15498, "x2", 15507)
(15498, "x5", 15741)
(15498, "x6", 16227)
(189, "x8", 6750)
(6750, "o0", 6752)
(6750, "o1", 6756)
(6750, "o2", 6768)
(6750, "o5", 7236)
(7236, "x0", 7237)
(7236, "x1", 7239)
(7236, "x2", 7245)
(7236, "x6", 7965)
(7236, "x7", 9423)
(6750, "o6", 8208)
(8208, "x0", 8209)
(8208, "x1", 8211)
(8208, "x2", 8217)
(8208, "x5", 8451)
(8208, "x7", 10395)
(6750, "o7", 11124)
(11124, "x0", 11125)
(11124, "x1", 11127)
(11124, "x2", 11133)
(11124, "x5", 11367)
(11124, "x6", 11853)
(27, "o5", 513)
(513, "x0", 514)
(513, "x1", 516)
(513, "x2", 522)
(513, "x4", 594)
(594, "o0", 596)
(594, "o1", 600)
(594, "o2", 612)
(594, "o6", 2052)
(2052, "x0", 2053)
(2052, "x1", 2055)
(2052, "x2", 2061)
(2052, "x7", 4239)
(4239, "o0", 4241)
(4239, "o1", 4245)
(4239, "o2", 4257)
(4239, "o8", 17361)
(17361, "x0", 17362)
(17361, "x1", 17364)
(17361, "x2", 17370)
(2052, "x8", 8613)
(8613, "o0", 8615)
(8613, "o1", 8619)
(8613, "o2", 8631)
(8613, "o7", 12987)
(12987, "x0", 12988)
(12987, "x1", 12990)
(12987, "x2", 12996)
(594, "o7", 4968)
(4968, "x0", 4969)
(4968, "x1", 4971)
(4968, "x2", 4977)
(4968, "x6", 5697)
(5697, "o0", 5699)
(5697, "o1", 5703)
(5697, "o2", 5715)
(5697, "o8", 18819)
(18819, "x0", 18820)
(18819, "x1", 18822)
(18819, "x2", 18828)
(4968, "x8", 11529)
(11529, "o0", 11531)
(11529, "o1", 11535)
(11529, "o2", 11547)
(11529, "o6", 12987)
(594, "o8", 13716)
(13716, "x0", 13717)
(13716, "x1", 13719)
(13716, "x2", 13725)
(13716, "x6", 14445)
(14445, "o0", 14447)
(14445, "o1", 14451)
(14445, "o2", 14463)
(14445, "o7", 18819)
(13716, "x7", 15903)
(15903, "o0", 15905)
(15903, "o1", 15909)
(15903, "o2", 15921)
(15903, "o6", 17361)
(513, "x6", 1242)
(1242, "o0", 1244)
(1242, "o1", 1248)
(1242, "o2", 1260)
(1242, "o4", 1404)
(1242, "o7", 5616)
(5616, "x0", 5617)
(5616, "x1", 5619)
(5616, "x2", 5625)
(5616, "x4", 5697)
(5616, "x8", 12177)
(12177, "o0", 12179)
(12177, "o1", 12183)
(12177, "o2", 12195)
(12177, "o4", 12339)
(1242, "o8", 14364)
(14364, "x0", 14365)
(14364, "x1", 14367)
(14364, "x2", 14373)
(14364, "x4", 14445)
(14364, "x7", 16551)
(16551, "o0", 16553)
(16551, "o1", 16557)
(16551, "o2", 16569)
(16551, "o4", 16713)
(513, "x7", 2700)
(2700, "o0", 2702)
(2700, "o1", 2706)
(2700, "o2", 2718)
(2700, "o4", 2862)
(2700, "o6", 4158)
(4158, "x0", 4159)
(4158, "x1", 4161)
(4158, "x2", 4167)
(4158, "x4", 4239)
(4158, "x8", 10719)
(10719, "o0", 10721)
(10719, "o1", 10725)
(10719, "o2", 10737)
(10719, "o4", 10881)
(2700, "o8", 15822)
(15822, "x0", 15823)
(15822, "x1", 15825)
(15822, "x2", 15831)
(15822, "x4", 15903)
(15822, "x6", 16551)
(513, "x8", 7074)
(7074, "o0", 7076)
(7074, "o1", 7080)
(7074, "o2", 7092)
(7074, "o4", 7236)
(7074, "o6", 8532)
(8532, "x0", 8533)
(8532, "x1", 8535)
(8532, "x2", 8541)
(8532, "x4", 8613)
(8532, "x7", 10719)
(7074, "o7", 11448)
(11448, "x0", 11449)
(11448, "x1", 11451)
(11448, "x2", 11457)
(11448, "x4", 11529)
(11448, "x6", 12177)
(27, "o6", 1485)
(1485, "x0", 1486)
(1485, "x1", 1488)
(1485, "x2", 1494)
(1485, "x4", 1566)
(1566, "o0", 1568)
(1566, "o1", 1572)
(1566, "o2", 1584)
(1566, "o5", 2052)
(1566, "o7", 5940)
(5940, "x0", 5941)
(5940, "x1", 5943)
(5940, "x2", 5949)
(5940, "x5", 6183)
(6183, "x-won", 19683)
(5940, "x8", 12501)
(12501, "o0", 12503)
(12501, "o1", 12507)
(12501, "o2", 12519)
(12501, "o5", 12987)
(1566, "o8", 14688)
(14688, "x0", 14689)
(14688, "x1", 14691)
(14688, "x2", 14697)
(14688, "x5", 14931)
(14931, "x-won", 19683)
(14688, "x7", 16875)
(16875, "o0", 16877)
(16875, "o1", 16881)
(16875, "o2", 16893)
(16875, "o5", 17361)
(1485, "x5", 1728)
(1728, "o0", 1730)
(1728, "o1", 1734)
(1728, "o2", 1746)
(1728, "o4", 1890)
(1728, "o7", 6102)
(6102, "x0", 6103)
(6102, "x1", 6105)
(6102, "x2", 6111)
(6102, "x4", 6183)
(6102, "x8", 12663)
(12663, "o0", 12665)
(12663, "o1", 12669)
(12663, "o2", 12681)
(12663, "o4", 12825)
(1728, "o8", 14850)
(14850, "x0", 14851)
(14850, "x1", 14853)
(14850, "x2", 14859)
(14850, "x4", 14931)
(14850, "x7", 17037)
(17037, "o0", 17039)
(17037, "o1", 17043)
(17037, "o2", 17055)
(17037, "o4", 17199)
(1485, "x7", 3672)
(3672, "o0", 3674)
(3672, "o1", 3678)
(3672, "o2", 3690)
(3672, "o4", 3834)
(3672, "o5", 4158)
(3672, "o8", 16794)
(16794, "x0", 16795)
(16794, "x1", 16797)
(16794, "x2", 16803)
(16794, "x4", 16875)
(16794, "x5", 17037)
(1485, "x8", 8046)
(8046, "o0", 8048)
(8046, "o1", 8052)
(8046, "o2", 8064)
(8046, "o4", 8208)
(8046, "o5", 8532)
(8046, "o7", 12420)
(12420, "x0", 12421)
(12420, "x1", 12423)
(12420, "x2", 12429)
(12420, "x4", 12501)
(12420, "x5", 12663)
(27, "o7", 4401)
(4401, "x0", 4402)
(4401, "x1", 4404)
(4401, "x2", 4410)
(4401, "x4", 4482)
(4482, "o0", 4484)
(4482, "o1", 4488)
(4482, "o2", 4500)
(4482, "o5", 4968)
(4482, "o6", 5940)
(4482, "o8", 17604)
(17604, "x0", 17605)
(17604, "x1", 17607)
(17604, "x2", 17613)
(17604, "x5", 17847)
(17847, "x-won", 19683)
(17604, "x6", 18333)
(18333, "o0", 18335)
(18333, "o1", 18339)
(18333, "o2", 18351)
(18333, "o5", 18819)
(4401, "x5", 4644)
(4644, "o0", 4646)
(4644, "o1", 4650)
(4644, "o2", 4662)
(4644, "o4", 4806)
(4644, "o6", 6102)
(4644, "o8", 17766)
(17766, "x0", 17767)
(17766, "x1", 17769)
(17766, "x2", 17775)
(17766, "x4", 17847)
(17766, "x6", 18495)
(18495, "o0", 18497)
(18495, "o1", 18501)
(18495, "o2", 18513)
(18495, "o4", 18657)
(4401, "x6", 5130)
(5130, "o0", 5132)
(5130, "o1", 5136)
(5130, "o2", 5148)
(5130, "o4", 5292)
(5130, "o5", 5616)
(5130, "o8", 18252)
(18252, "x0", 18253)
(18252, "x1", 18255)
(18252, "x2", 18261)
(18252, "x4", 18333)
(18252, "x5", 18495)
(4401, "x8", 10962)
(10962, "o0", 10964)
(10962, "o1", 10968)
(10962, "o2", 10980)
(10962, "o4", 11124)
(10962, "o5", 11448)
(10962, "o6", 12420)
(27, "o8", 13149)
(13149, "x0", 13150)
(13149, "x1", 13152)
(13149, "x2", 13158)
(13149, "x4", 13230)
(13230, "o0", 13232)
(13230, "o1", 13236)
(13230, "o2", 13248)
(13230, "o5", 13716)
(13230, "o6", 14688)
(13230, "o7", 17604)
(13149, "x5", 13392)
(13392, "o0", 13394)
(13392, "o1", 13398)
(13392, "o2", 13410)
(13392, "o4", 13554)
(13392, "o6", 14850)
(13392, "o7", 17766)
(13149, "x6", 13878)
(13878, "o0", 13880)
(13878, "o1", 13884)
(13878, "o2", 13896)
(13878, "o4", 14040)
(13878, "o5", 14364)
(13878, "o7", 18252)
(13149, "x7", 15336)
(15336, "o0", 15338)
(15336, "o1", 15342)
(15336, "o2", 15354)
(15336, "o4", 15498)
(15336, "o5", 15822)
(15336, "o6", 16794)
(0, "x4", 81)
(81, "o0", 83)
(83, "x1", 86)
(83, "x2", 92)
(83, "x3", 110)
(83, "x5", 326)
(326, "o1", 332)
(332, "x2", 341)
(332, "x3", 359)
(332, "x6", 1061)
(1061, "o2", 1079)
(1079, "o-won", 19683)
(1061, "o3", 1115)
(1115, "x2", 1124)
(1115, "x7", 3302)
(3302, "o2", 3320)
(3320, "o-won", 19683)
(3302, "o8", 16424)
(16424, "x2", 16433)
(1115, "x8", 7676)
(7676, "o2", 7694)
(7694, "o-won", 19683)
(7676, "o7", 12050)
(12050, "x2", 12059)
(12059, "x-won", 19683)
(1061, "o7", 5435)
(5435, "x2", 5444)
(5435, "x3", 5462)
(5435, "x8", 11996)
(11996, "o2", 12014)
(12014, "o-won", 19683)
(11996, "o3", 12050)
(1061, "o8", 14183)
(14183, "x2", 14192)
(14183, "x3", 14210)
(14183, "x7", 16370)
(16370, "o2", 16388)
(16388, "o-won", 19683)
(16370, "o3", 16424)
(332, "x7", 2519)
(2519, "o2", 2537)
(2537, "o-won", 19683)
(2519, "o3", 2573)
(2573, "x2", 2582)
(2573, "x6", 3302)
(2573, "x8", 9134)
(9134, "o2", 9152)
(9152, "o-won", 19683)
(9134, "o6", 10592)
(10592, "o-won", 19683)
(2519, "o6", 3977)
(3977, "x2", 3986)
(3977, "x3", 4004)
(3977, "x8", 10538)
(10538, "o2", 10556)
(10556, "o-won", 19683)
(10538, "o3", 10592)
(2519, "o8", 15641)
(15641, "x2", 15650)
(15641, "x3", 15668)
(15641, "x6", 16370)
(332, "x8", 6893)
(6893, "o2", 6911)
(6911, "o-won", 19683)
(6893, "o3", 6947)
(6947, "x2", 6956)
(6947, "x6", 7676)
(6947, "x7", 9134)
(6893, "o6", 8351)
(8351, "x2", 8360)
(8351, "x3", 8378)
(8351, "x7", 10538)
(6893, "o7", 11267)
(11267, "x2", 11276)
(11267, "x3", 11294)
(11267, "x6", 11996)
(326, "o2", 344)
(344, "x1", 347)
(344, "x3", 371)
(344, "x6", 1073)
(1073, "o1", 1079)
(1073, "o3", 1127)
(1127, "x1", 1130)
(1127, "x7", 3314)
(3314, "o1", 3320)
(3314, "o8", 16436)
(16436, "x1", 16439)
(1127, "x8", 7688)
(7688, "o1", 7694)
(7688, "o7", 12062)
(12062, "x1", 12065)
(1073, "o7", 5447)
(5447, "x1", 5450)
(5447, "x3", 5474)
(5447, "x8", 12008)
(12008, "o1", 12014)
(12008, "o3", 12062)
(1073, "o8", 14195)
(14195, "x1", 14198)
(14195, "x3", 14222)
(14195, "x7", 16382)
(16382, "o1", 16388)
(16382, "o3", 16436)
(344, "x7", 2531)
(2531, "o1", 2537)
(2531, "o3", 2585)
(2585, "x1", 2588)
(2585, "x6", 3314)
(2585, "x8", 9146)
(9146, "o1", 9152)
(9146, "o6", 10604)
(10604, "o-won", 19683)
(2531, "o6", 3989)
(3989, "x1", 3992)
(3989, "x3", 4016)
(3989, "x8", 10550)
(10550, "o1", 10556)
(10550, "o3", 10604)
(2531, "o8", 15653)
(15653, "x1", 15656)
(15653, "x3", 15680)
(15653, "x6", 16382)
(344, "x8", 6905)
(6905, "o1", 6911)
(6905, "o3", 6959)
(6959, "x1", 6962)
(6959, "x6", 7688)
(6959, "x7", 9146)
(6905, "o6", 8363)
(8363, "x1", 8366)
(8363, "x3", 8390)
(8363, "x7", 10550)
(6905, "o7", 11279)
(11279, "x1", 11282)
(11279, "x3", 11306)
(11279, "x6", 12008)
(326, "o3", 380)
(380, "x1", 383)
(380, "x2", 389)
(380, "x6", 1109)
(1109, "o1", 1115)
(1109, "o2", 1127)
(1109, "o7", 5483)
(5483, "x1", 5486)
(5483, "x2", 5492)
(5483, "x8", 12044)
(12044, "o1", 12050)
(12044, "o2", 12062)
(1109, "o8", 14231)
(14231, "x1", 14234)
(14231, "x2", 14240)
(14231, "x7", 16418)
(16418, "o1", 16424)
(16418, "o2", 16436)
(380, "x7", 2567)
(2567, "o1", 2573)
(2567, "o2", 2585)
(2567, "o6", 4025)
(4025, "o-won", 19683)
(2567, "o8", 15689)
(15689, "x1", 15692)
(15689, "x2", 15698)
(15689, "x6", 16418)
(380, "x8", 6941)
(6941, "o1", 6947)
(6941, "o2", 6959)
(6941, "o6", 8399)
(8399, "o-won", 19683)
(6941, "o7", 11315)
(11315, "x1", 11318)
(11315, "x2", 11324)
(11315, "x6", 12044)
(326, "o6", 1784)
(1784, "x1", 1787)
(1784, "x2", 1793)
(1784, "x3", 1811)
(1784, "x7", 3971)
(3971, "o1", 3977)
(3971, "o2", 3989)
(3971, "o3", 4025)
(3971, "o8", 17093)
(17093, "x1", 17096)
(17093, "x2", 17102)
(17093, "x3", 17120)
(1784, "x8", 8345)
(8345, "o1", 8351)
(8345, "o2", 8363)
(8345, "o3", 8399)
(8345, "o7", 12719)
(12719, "x1", 12722)
(12719, "x2", 12728)
(12719, "x3", 12746)
(326, "o7", 4700)
